ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes,vote_share,region,reserved
101,DHARAPURAM,Gowri Chitra,TVK,U,46438.0,L,200101.0,198886.0,23.35,Kongu,SC
101,DHARAPURAM,Ananthi.s,IND,IND,151.0,FD,200101.0,198886.0,0.08,Kongu,SC
101,DHARAPURAM,Indhirani.c,IND,IND,142.0,FD,200101.0,198886.0,0.07,Kongu,SC
101,DHARAPURAM,Gowri.p,IND,IND,125.0,FD,200101.0,198886.0,0.06,Kongu,SC
101,DHARAPURAM,Rohini.s,IND,IND,357.0,FD,200101.0,198886.0,0.18,Kongu,SC
102,KANGAYAM,R.vijayalakshmi,GPI,U,176.0,FD,203782.0,202828.0,0.09,Kongu,GEN
103,PERUNDURAI,Valarmathi. P,SMKNK,U,77.0,FD,201079.0,199874.0,0.04,Kongu,GEN
104,BHAVANI,Mohanadevi. R,NTK,S,6195.0,FD,208464.0,206914.0,2.99,Kongu,GEN
105,ANTHIYUR,Aalangattur Anandhi,NTK,S,5287.0,FD,185970.0,185021.0,2.86,Kongu,GEN
105,ANTHIYUR,Selvi.a,IND,IND,176.0,FD,185970.0,185021.0,0.1,Kongu,GEN
106,GOBICHETTIPALAYAM,Seethalakshmi.m.k,NTK,S,8137.0,FD,219988.0,218820.0,3.72,Kongu,GEN
106,GOBICHETTIPALAYAM,Malarvizhi,PFTROOBC,U,197.0,FD,219988.0,218820.0,0.09,Kongu,GEN
106,GOBICHETTIPALAYAM,Seetha.r,IND,IND,139.0,FD,219988.0,218820.0,0.06,Kongu,GEN
106,GOBICHETTIPALAYAM,Sumathi.g,IND,IND,332.0,FD,219988.0,218820.0,0.15,Kongu,GEN
106,GOBICHETTIPALAYAM,Bhuvaneshwari.a,IND,IND,499.0,FD,219988.0,218820.0,0.23,Kongu,GEN
107,BHAVANISAGAR,S.soundarya,NTK,S,5832.0,FD,214838.0,212791.0,2.74,Kongu,SC
107,BHAVANISAGAR,V.p.tamilselvi,TVK,U,72391.0,W,214838.0,212791.0,34.02,Kongu,SC
108,UDHAGAMANDALAM,Saveetha.r,tavk,U,418.0,FD,149032.0,147179.0,0.28,Kongu,GEN
110,COONOOR,K. Deenu,NTK,S,4695.0,FD,141719.0,140674.0,3.34,Kongu,GEN
111,METTUPPALAYAM,Smt.kavitha Kalyanasundaram,DMK,S,67896.0,L,244535.0,243480.0,27.89,Kongu,GEN
111,METTUPPALAYAM,R.sangeetha,NADLMMKLK,U,356.0,FD,244535.0,243480.0,0.15,Kongu,GEN
111,METTUPPALAYAM,S.kavitha,IND,IND,263.0,FD,244535.0,243480.0,0.11,Kongu,GEN
111,METTUPPALAYAM,A.sathiyaleela,IND,IND,238.0,FD,244535.0,243480.0,0.1,Kongu,GEN
112,AVANASHI,Dr. Gokilamani.v,DMK,S,65530.0,L,231948.0,230037.0,28.49,Kongu,SC
112,AVANASHI,Menaka. V,NTK,S,7704.0,FD,231948.0,230037.0,3.35,Kongu,SC
112,AVANASHI,Kamali.s,TVK,U,84209.0,W,231948.0,230037.0,36.61,Kongu,SC
112,AVANASHI,Anandhi.s,IND,IND,235.0,FD,231948.0,230037.0,0.1,Kongu,SC
112,AVANASHI,Gokilamani. M,IND,IND,652.0,FD,231948.0,230037.0,0.28,Kongu,SC
113,TIRUPPUR (NORTH),R.abinaya,NTK,S,13157.0,FD,263576.0,262379.0,5.01,Kongu,GEN
113,TIRUPPUR (NORTH),V.sathyabama,TVK,U,131401.0,W,263576.0,262379.0,50.08,Kongu,GEN
114,TIRUPPUR (SOUTH),Malarvizhi. G,IDMK,U,170.0,FD,179929.0,179170.0,0.09,Kongu,GEN
114,TIRUPPUR (SOUTH),Karthikadevi. K,IND,IND,45.0,FD,179929.0,179170.0,0.03,Kongu,GEN
114,TIRUPPUR (SOUTH),Vasanthamani. K,IND,IND,142.0,FD,179929.0,179170.0,0.08,Kongu,GEN
116,SULUR,Pappa Muthulakshmi.p.,AIPTMMK,U,216.0,FD,273735.0,272191.0,0.08,Kongu,GEN
117,KAVUNDAMPALAYAM,Kalamani Jaganathan,NTK,S,16834.0,FD,364242.0,361875.0,4.65,Kongu,GEN
117,KAVUNDAMPALAYAM,Kanimozhi Santhosh,TVK,U,146466.0,W,364242.0,361875.0,40.47,Kongu,GEN
117,KAVUNDAMPALAYAM,Malliga.m,AIPTMMK,U,314.0,FD,364242.0,361875.0,0.09,Kongu,GEN
117,KAVUNDAMPALAYAM,Kanimozhi.k,IND,IND,567.0,FD,364242.0,361875.0,0.16,Kongu,GEN
118,COIMBATORE (NORTH),Narmadha. G.,NTK,S,9036.0,FD,226267.0,225089.0,4.01,Kongu,GEN
118,COIMBATORE (NORTH),Vanathi Srinivasan,BJP,N,49722.0,L,226267.0,225089.0,22.09,Kongu,GEN
119,THONDAMUTHUR,Rajabu Nisha.z,NTK,S,6976.0,FD,258823.0,257549.0,2.71,Kongu,GEN
119,THONDAMUTHUR,Kalaivani.s,IND,IND,125.0,FD,258823.0,257549.0,0.05,Kongu,GEN
119,THONDAMUTHUR,Kowsalya.v,IND,IND,77.0,FD,258823.0,257549.0,0.03,Kongu,GEN
