ac_number,constituency,nota_21,region,nota_26,tot_21,tot_26,nota_pct_21,nota_pct_26,nota_delta
51,Uthangarai,1359,North,881,188223,205530,0.722,0.429,-0.293
52,Bargur,1507,North,631,197784,213960,0.762,0.295,-0.467
53,Krishnagiri,1837,North,1136,211648,230181,0.868,0.494,-0.374
54,Veppanahalli,1662,North,1570,205141,222608,0.81,0.705,-0.105
55,Hosur,1976,North,1614,248098,277770,0.796,0.581,-0.215
56,Thalli,1966,North,1550,194022,205878,1.013,0.753,-0.26
57,Palacode,1351,North,1292,206595,225257,0.654,0.574,-0.08
58,Pennagaram,1759,North,674,210305,228666,0.836,0.295,-0.541
59,Dharmapuri,1726,North,941,217333,238579,0.794,0.394,-0.4
60,Pappireddippatti,1338,North,677,220994,236621,0.605,0.286,-0.319
61,Harur,2249,North,782,198565,220042,1.133,0.355,-0.778
62,Chengam,1085,North,1114,223950,242897,0.484,0.459,-0.025
63,Tiruvannamalai,2194,North,785,208836,220066,1.051,0.357,-0.694
64,Kilpennathur,961,North,440,203886,219790,0.471,0.2,-0.271
65,Kalasapakkam,1593,North,423,196434,214127,0.811,0.198,-0.613
66,Polur,1144,North,798,202012,211743,0.566,0.377,-0.189
67,Arani,1690,North,707,221422,230162,0.763,0.307,-0.456
68,Cheyyar,1895,North,950,214460,222570,0.884,0.427,-0.457
69,Vandavasi,1769,North,988,185974,191204,0.951,0.517,-0.434
70,Gingee,2279,Central,508,206880,216652,1.102,0.234,-0.868
71,Mailam,884,Central,299,176989,189221,0.499,0.158,-0.341
72,Tindivanam,1523,Central,714,182538,196026,0.834,0.364,-0.47
73,Vanur,1363,Central,519,182208,192119,0.748,0.27,-0.478
74,Villupuram,970,Central,573,204860,215422,0.473,0.266,-0.207
75,Vikravandi,1122,Central,401,193617,209231,0.579,0.192,-0.387
76,Tirukkoyilur,2039,Central,500,196217,217318,1.039,0.23,-0.809
77,Ulundurpet,2280,Central,1051,244853,271002,0.931,0.388,-0.543
78,Rishivandiam,2420,Central,534,215106,244795,1.125,0.218,-0.907
79,Sankarapuram,953,Central,383,215802,235528,0.442,0.163,-0.279
80,Kallakurichi,1257,Central,883,225858,249626,0.557,0.354,-0.203
81,Gangavalli,1251,Central,731,186503,196679,0.671,0.372,-0.299
82,Attur,1834,Central,1031,199743,208296,0.918,0.495,-0.423
83,Yercaud,1979,Central,1250,238924,253592,0.828,0.493,-0.335
84,Omalur,1600,Central,1433,249027,271119,0.643,0.529,-0.114
85,Mettur,2247,Central,794,218442,231105,1.029,0.344,-0.685
86,Edapadi,1109,Central,1341,247301,258263,0.448,0.519,0.071
87,Sankari,1469,Central,711,232247,243779,0.633,0.292,-0.341
88,Salem (West),1683,Central,1052,216628,234407,0.777,0.449,-0.328
89,Salem (North),1539,Central,1205,202376,210712,0.76,0.572,-0.188
90,Salem (South),1860,Central,745,199982,207902,0.93,0.358,-0.572
91,Veerapandi,1409,Central,594,223702,235875,0.63,0.252,-0.378
92,Rasipuram,2110,Central,863,196904,204680,1.072,0.422,-0.65
93,Sendamangalam,2058,Central,1211,199235,209687,1.033,0.578,-0.455
94,Namakkal,1285,Central,760,206759,212283,0.621,0.358,-0.263
95,Paramathi-Velur,964,Central,449,183697,188845,0.525,0.238,-0.287
96,Tiruchengode,1518,Central,520,184669,191122,0.822,0.272,-0.55
97,Kumarapalayam,1342,Central,665,201925,205324,0.665,0.324,-0.341
98,Erode (East),1546,Kongu,879,152037,162453,1.017,0.541,-0.476
99,Erode (West),1968,Kongu,1257,205579,221400,0.957,0.568,-0.389
100,Modakurichi,2342,Kongu,925,181857,190759,1.288,0.485,-0.803
101,Dharapuram,1903,Kongu,1058,193991,199944,0.981,0.529,-0.452
102,Kangayam,1027,Kongu,706,199818,203534,0.514,0.347,-0.167
103,Perundurai,1189,Kongu,812,189843,200686,0.626,0.405,-0.221
104,Bhavani,2079,Kongu,1409,201385,208323,1.032,0.676,-0.356
105,Anthiyur,1027,Kongu,754,176385,185775,0.582,0.406,-0.176
106,Gobichettipalayam,1307,Kongu,907,214281,219727,0.61,0.413,-0.197
107,Bhavanisagar,2005,Kongu,1804,200567,214595,1.0,0.841,-0.159
