ac_number,region,party_grp,votes,total_ac,vote_pct,year
98,Kongu,Others,13166,152037,8.66,2021
99,Kongu,AIADMK,78668,205579,38.267,2021
99,Kongu,DMK,100757,205579,49.011,2021
99,Kongu,NOTA,1968,205579,0.957,2021
99,Kongu,NTK,13353,205579,6.495,2021
99,Kongu,Others,10833,205579,5.27,2021
100,Kongu,BJP,78125,181857,42.96,2021
100,Kongu,DMK,77844,181857,42.805,2021
100,Kongu,NOTA,2342,181857,1.288,2021
100,Kongu,NTK,12944,181857,7.118,2021
100,Kongu,Others,10602,181857,5.83,2021
101,Kongu,BJP,88593,193991,45.669,2021
101,Kongu,DMK,89986,193991,46.387,2021
101,Kongu,NOTA,1903,193991,0.981,2021
101,Kongu,NTK,6753,193991,3.481,2021
101,Kongu,Others,6756,193991,3.483,2021
102,Kongu,AIADMK,86866,199818,43.473,2021
102,Kongu,DMK,94197,199818,47.141,2021
102,Kongu,NOTA,1027,199818,0.514,2021
102,Kongu,NTK,11307,199818,5.659,2021
102,Kongu,Others,6421,199818,3.213,2021
103,Kongu,AIADMK,85125,189843,44.84,2021
103,Kongu,DMK,70618,189843,37.198,2021
103,Kongu,NOTA,1189,189843,0.626,2021
103,Kongu,NTK,10294,189843,5.422,2021
103,Kongu,Others,22617,189843,11.914,2021
104,Kongu,AIADMK,100915,201385,50.11,2021
104,Kongu,DMK,78392,201385,38.926,2021
104,Kongu,NOTA,2079,201385,1.032,2021
104,Kongu,NTK,10471,201385,5.199,2021
104,Kongu,Others,9528,201385,4.731,2021
105,Kongu,AIADMK,77821,176385,44.12,2021
105,Kongu,DMK,79096,176385,44.843,2021
105,Kongu,NOTA,1027,176385,0.582,2021
105,Kongu,NTK,8230,176385,4.666,2021
105,Kongu,Others,10211,176385,5.789,2021
106,Kongu,AIADMK,108608,214281,50.685,2021
106,Kongu,DMK,80045,214281,37.355,2021
106,Kongu,NOTA,1307,214281,0.61,2021
106,Kongu,NTK,11719,214281,5.469,2021
106,Kongu,Others,12602,214281,5.881,2021
107,Kongu,AIADMK,99181,200567,49.45,2021
107,Kongu,CPI,83173,200567,41.469,2021
107,Kongu,NOTA,2005,200567,1.0,2021
107,Kongu,NTK,8517,200567,4.246,2021
107,Kongu,Others,7691,200567,3.835,2021
108,Kongu,BJP,60182,141102,42.651,2021
108,Kongu,INC,65530,141102,46.442,2021
108,Kongu,NOTA,1376,141102,0.975,2021
